station,temperature,dew_point,pressure,wind_dir,wind_speed,visibility,rain
SBFL,26,20,1012,350,11.0,9999.0,0
SBFL,27,20,1011,350,14.0,9999.0,0
SBFL,28,20,1011,100,15.0,9999.0,0
SBFL,29,20,1012,100,14.0,9999.0,0
SBFL,28,21,1013,360,13.0,9999.0,0
SBFL,27,21,1014,360,15.0,9999.0,0
SBFL,27,20,1014,360,15.0,9999.0,0
SBFL,25,20,1015,010,15.0,9999.0,0
SBFL,26,20,1015,020,9.0,9999.0,0
SBFL,25,21,1016,350,9.0,9999.0,0
SBFL,24,21,1016,340,8.0,9999.0,0
SBFL,23,21,1015,350,9.0,9999.0,0
SBFL,22,21,1015,330,6.0,9999.0,0
SBFL,22,21,1014,360,4.0,9999.0,0
SBFL,22,21,1014,310,5.0,9999.0,0
SBFL,22,21,1015,010,5.0,9999.0,0
SBFL,22,21,1015,020,7.0,9999.0,0
SBFL,22,21,1016,360,4.0,9999.0,0
SBFL,23,21,1016,360,4.0,,0
SBFL,23,21,1017,350,4.0,,0
SBFL,23,21,1017,010,6.0,,0
SBFL,23,22,1016,VRB,2.0,9999.0,0
SBFL,23,22,1016,VRB,2.0,9999.0,0
SBFL,23,21,1016,110,2.0,9999.0,0
SBFL,24,21,1016,060,5.0,9999.0,0
SBFL,24,22,1015,060,7.0,9999.0,0
SBFL,25,22,1015,070,11.0,9999.0,0
SBFL,25,21,1015,070,10.0,9999.0,0
SBFL,25,22,1015,070,9.0,9999.0,0
SBFL,26,22,1016,060,7.0,9999.0,0
SBFL,25,22,1016,020,5.0,9999.0,0
SBFL,24,22,1017,030,7.0,5000.0,0
SBFL,23,22,1017,VRB,2.0,3000.0,0
SBFL,23,22,1017,130,2.0,2000.0,0
SBFL,22,21,1017,280,4.0,1000.0,1
SBFL,22,21,1017,280,4.0,1000.0,1
SBFL,22,21,1017,270,4.0,8000.0,0
SBFL,22,21,1017,VRB,2.0,4000.0,0
SBFL,22,21,1017,290,3.0,3500.0,0
SBFL,22,21,1016,VRB,3.0,9999.0,0
SBFL,21,21,1016,250,3.0,6000.0,0
SBFL,21,21,1015,210,3.0,6000.0,0
SBFL,21,20,1015,VRB,2.0,9000.0,0
SBFL,21,20,1015,020,2.0,4000.0,0
SBFL,21,20,1015,VRB,2.0,4000.0,0
SBFL,21,20,1016,VRB,2.0,6000.0,0
SBFL,21,19,1016,050,2.0,9000.0,0
SBFL,21,19,1017,050,8.0,9000.0,0
SBFL,22,20,1017,050,5.0,3500.0,0
SBFL,22,20,1016,VRB,2.0,9999.0,0
SBFL,22,20,1017,VRB,2.0,9999.0,0
SBFL,21,20,1017,360,3.0,9999.0,0
SBFL,21,20,1017,360,3.0,9999.0,0
SBFL,21,20,1016,310,3.0,9999.0,0
SBFL,21,20,1016,VRB,2.0,4000.0,0
SBFL,21,19,1016,090,3.0,9999.0,0
SBFL,21,19,1016,080,4.0,9000.0,0
SBFL,22,19,1016,070,9.0,9999.0,0
SBFL,24,18,1015,060,11.0,9999.0,0
SBFL,24,18,1015,060,11.0,9999.0,0
SBFL,25,17,1015,050,12.0,,0
SBFL,26,13,1016,020,8.0,9999.0,0
SBFL,27,12,1017,350,9.0,,0
SBFL,26,14,1017,330,10.0,,0
SBFL,26,15,1018,330,8.0,,0
SBFL,24,16,1018,330,8.0,,0
SBFL,24,17,1018,310,6.0,,0
SBFL,22,17,1018,310,4.0,,0
SBFL,21,18,1018,260,4.0,9999.0,0
SBFL,18,16,1017,000,0.0,9999.0,0
SBFL,16,15,1016,210,1.0,9999.0,0
SBFL,17,15,1016,000,0.0,9999.0,0
SBFL,18,15,1016,000,0.0,9999.0,0
SBFL,20,15,1016,080,3.0,9999.0,0
SBFL,21,15,1017,070,3.0,9999.0,0
SBFL,19,16,1017,VRB,1.0,9999.0,0
SBFL,20,16,1017,110,3.0,,0
SBFL,19,16,1017,080,3.0,,0
SBFL,21,16,1017,090,3.0,,0
SBFL,21,16,1017,090,3.0,,0
SBFL,21,16,1016,060,4.0,,0
SBFL,22,15,1016,040,7.0,,0
SBFL,24,15,1015,050,8.0,,0
SBFL,24,15,1015,060,11.0,,0
SBFL,25,14,1015,080,12.0,,0
SBFL,26,14,1015,070,12.0,,0
SBFL,26,16,1015,090,14.0,9999.0,0
SBFL,27,15,1016,100,4.0,9999.0,0
SBFL,25,14,1016,350,6.0,9999.0,0
SBFL,24,14,1017,360,7.0,9999.0,0
SBFL,24,14,1017,350,6.0,9999.0,0
SBFL,22,13,1017,320,5.0,,0
SBFL,21,13,1017,300,4.0,,0
SBFL,19,12,1017,290,5.0,,0
SBFL,18,11,1016,280,5.0,,0
SBFL,17,12,1015,260,4.0,,0
SBFL,17,11,1015,280,5.0,,0
SBFL,18,13,1015,270,6.0,,0
SBFL,18,13,1015,260,5.0,,0
SBFL,18,13,1016,260,5.0,,0
SBFL,18,12,1016,230,4.0,,0
SBFL,19,12,1016,210,4.0,,0
SBFL,19,11,1016,190,6.0,,0
SBFL,20,11,1016,190,5.0,,0
