station,temperature,dew_point,pressure,wind_dir,wind_speed,visibility,rain
SBFL,24,21,1016,060,5,9999,0
SBFL,24,22,1015,060,7,9999,0
SBFL,25,22,1015,070,11,9999,0
SBFL,25,21,1015,070,10,9999,0
SBFL,25,22,1015,070,9,9999,0
SBFL,26,22,1016,060,7,9999,0
SBFL,25,22,1016,020,5,9999,0
SBFL,24,22,1017,030,7,5000,0
SBFL,23,22,1017,VRB,2,3000,0
SBFL,23,22,1017,130,2,2000,0
SBFL,22,21,1017,280,4,1000,1
SBFL,22,21,1017,280,4,1000,1
SBFL,22,21,1017,270,4,8000,0
SBFL,22,21,1017,VRB,2,4000,0
SBFL,22,21,1017,290,3,3500,0
SBFL,22,21,1016,VRB,3,9999,0
SBFL,21,21,1016,250,3,6000,0
SBFL,21,21,1015,210,3,6000,0
SBFL,21,20,1015,VRB,2,9000,0
SBFL,21,20,1015,020,2,4000,0
SBFL,21,20,1015,VRB,2,4000,0
SBFL,21,20,1016,VRB,2,6000,0
SBFL,21,19,1016,050,2,9000,0
SBFL,21,19,1017,050,8,9000,0
SBFL,22,20,1017,050,5,3500,0
SBFL,22,20,1016,VRB,2,9999,0
SBFL,22,20,1017,VRB,2,9999,0
SBFL,21,20,1017,360,3,9999,0
SBFL,21,20,1017,360,3,9999,0
SBFL,21,20,1016,310,3,9999,0
SBFL,21,20,1016,VRB,2,4000,0
SBFL,21,19,1016,090,3,9999,0
SBFL,21,19,1016,080,4,9000,0
SBFL,22,19,1016,070,9,9999,0
SBFL,24,18,1015,060,11,9999,0
SBFL,24,18,1015,060,11,9999,0
SBFL,25,17,1015,050,12,,0
SBFL,26,13,1016,020,8,9999,0
SBFL,27,12,1017,350,9,,0
SBFL,26,14,1017,330,10,,0
SBFL,26,15,1018,330,8,,0
SBFL,24,16,1018,330,8,,0
SBFL,24,17,1018,310,6,,0
SBFL,22,17,1018,310,4,,0
SBFL,21,18,1018,260,4,9999,0
SBFL,18,16,1017,000,0,9999,0
SBFL,16,15,1016,210,1,9999,0
SBFL,17,15,1016,000,0,9999,0
SBFL,18,15,1016,000,0,9999,0
SBFL,20,15,1016,080,3,9999,0
SBFL,21,15,1017,070,3,9999,0
SBFL,19,16,1017,VRB,1,9999,0
SBFL,20,16,1017,110,3,,0
SBFL,19,16,1017,080,3,,0
SBFL,21,16,1017,090,3,,0
SBFL,21,16,1017,090,3,,0
SBFL,21,16,1016,060,4,,0
SBFL,22,15,1016,040,7,,0
SBFL,24,15,1015,050,8,,0
SBFL,24,15,1015,060,11,,0
SBFL,25,14,1015,080,12,,0
SBFL,26,14,1015,070,12,,0
SBFL,26,16,1015,090,14,9999,0
SBFL,27,15,1016,100,4,9999,0
SBFL,25,14,1016,350,6,9999,0
SBFL,24,14,1017,360,7,9999,0
SBFL,24,14,1017,350,6,9999,0
SBFL,22,13,1017,320,5,,0
SBFL,21,13,1017,300,4,,0
SBFL,19,12,1017,290,5,,0
SBFL,18,11,1016,280,5,,0
SBFL,17,12,1015,260,4,,0
SBFL,17,11,1015,280,5,,0
SBFL,18,13,1015,270,6,,0
SBFL,18,13,1015,260,5,,0
SBFL,18,13,1016,260,5,,0
SBFL,18,12,1016,230,4,,0
SBFL,19,12,1016,210,4,,0
SBFL,19,11,1016,190,6,,0
SBFL,20,11,1016,190,5,,0
SBFL,20,11,1016,190,5,,0
SBFL,20,10,1015,170,3,,0
SBFL,21,10,1014,150,7,,0
SBFL,21,10,1014,150,9,,0
SBFL,21,10,1013,150,9,,0
SBFL,22,10,1013,160,10,,0
SBFL,23,10,1013,160,12,,0
SBFL,24,12,1013,140,10,9999,0
SBFL,24,11,1013,130,12,9999,0
SBFL,23,10,1013,130,10,9999,0
SBFL,23,12,1014,120,8,9999,0
SBFL,23,11,1014,110,7,9999,0
SBFL,21,11,1014,220,6,9999,0
SBFL,20,11,1014,210,4,9999,0
SBFL,18,13,1013,270,5,,0
SBFL,16,12,1013,270,4,,0
SBFL,15,11,1012,230,7,,0
SBFL,15,11,1012,220,5,9999,0
SBFL,16,13,1012,260,4,9999,0
SBFL,17,12,1012,250,5,9999,0
SBFL,17,12,1012,270,4,9999,0
SBFL,18,11,1013,VRB,1,9999,0
SBFL,17,11,1013,180,5,9999,0
SBFL,18,10,1013,180,6,9999,0
SBFL,19,9,1013,160,8,9999,0
SBFL,19,9,1013,160,8,9999,0
SBFL,19,9,1012,180,9,9999,0
SBFL,19,10,1011,170,8,9999,0
SBFL,20,10,1010,170,12,9999,0
SBFL,20,11,1010,150,13,9999,0
SBFL,21,13,1010,140,10,9999,0
SBFL,20,14,1009,130,9,9999,0
SBFL,21,14,1009,160,7,9999,0
SBFL,21,14,1010,180,13,9999,0
SBFL,20,14,1010,180,12,9999,0
SBFL,21,15,1010,140,13,9999,0
SBFL,22,15,1010,140,12,9999,0
SBFL,23,16,1010,170,9,9999,0
SBFL,22,16,1009,160,10,9999,0
SBFL,22,18,1008,190,4,9999,0
SBFL,21,17,1007,VRB,5,,0
SBFL,21,17,1007,170,5,,0
SBFL,20,17,1008,180,12,9999,0
SBFL,20,17,1008,190,13,9999,0
SBFL,21,18,1007,190,16,9999,0
SBFL,24,18,1007,180,12,9999,0
SBFL,22,19,1008,090,8,9999,0
SBFL,23,20,1008,120,8,9999,0
SBFL,23,20,1007,340,5,9999,0
SBFL,24,19,1006,350,12,,0
SBFL,24,19,1006,350,12,,0
SBFL,24,19,1005,360,11,,0
SBFL,24,19,1005,360,11,,0
SBFL,26,19,1004,350,12,,0
SBFL,28,20,1004,350,13,,0
SBFL,29,20,1004,360,1,,0
SBFL,29,20,1005,360,14,,0
SBFL,29,20,1005,360,12,9999,0
SBFL,29,20,1006,360,13,9999,0
SBFL,28,19,1008,350,15,9999,0
SBFL,27,18,1009,350,15,9999,0
SBFL,26,18,1010,350,17,9999,0
SBFL,25,19,1011,350,17,9999,0
SBFL,24,19,1011,340,17,9999,0
SBFL,23,19,1011,340,13,9999,0
SBFL,22,19,1011,340,12,9999,0
SBFL,22,18,1011,330,11,9999,0
SBFL,22,18,1011,330,12,9999,0
SBFL,22,18,1010,340,12,9999,0
SBFL,22,18,1011,340,12,9999,0
SBFL,22,18,1012,360,9,9999,0
SBFL,22,17,1013,360,12,9999,0
SBFL,22,17,1013,360,10,9999,0
SBFL,23,17,1013,010,8,9999,0
SBFL,23,17,1013,010,10,9999,0
SBFL,23,17,1013,010,10,9999,0
SBFL,22,17,1013,010,8,,0
SBFL,23,16,1013,030,8,9999,0
SBFL,23,16,1013,040,7,9999,0
SBFL,27,16,1012,050,9,9999,0
SBFL,24,16,1012,060,12,9999,0
SBFL,26,16,1013,060,12,9999,0
SBFL,26,16,1014,060,11,9999,0
SBFL,26,16,1014,030,8,9999,0
SBFL,26,17,1014,340,8,9999,0
SBFL,25,16,1015,350,7,9999,0
SBFL,24,14,1016,330,7,9999,0
SBFL,22,15,1016,290,6,9999,0
SBFL,21,15,1016,290,5,9999,0
SBFL,19,15,1016,300,5,9999,0
SBFL,18,15,1015,280,6,9999,0
SBFL,17,15,1015,310,5,9999,0
SBFL,18,15,1015,270,7,9999,0
SBFL,19,15,1015,240,3,9999,0
SBFL,20,14,1015,210,5,9999,0
SBFL,20,14,1016,200,6,9999,0
SBFL,20,14,1016,210,4,9999,0
SBFL,20,14,1016,200,5,9999,0
SBFL,20,13,1016,200,7,9999,0
SBFL,21,13,1016,200,9,9999,0
SBFL,21,13,1016,200,9,9999,0
SBFL,21,13,1016,190,8,9999,0
